Directors,Descriptions
Ryan Gosling,"Before becoming one of the most bankable romantic leads of his generation, Ryan Gosling established himself with misfit outsider roles in award-winning independent films like ""The Believer"" (2001), ""Half Nelson"" (2006) and ""Lars and the Real Girl"" (2007), with a believability that could only come from someone who had struggled with unease and dissatisfaction in their own life. Perhaps his awkward professional start in ill-suited endeavors like a stint as a cast member on the ""Mickey Mouse Club"" (Disney Channel, 1988-1995) and the short-lived fantasy series ""Young Hercules"" (Fox, 1998-99) also provided fodder for the disaffected roles the young actor would later craft with such voracity. Turns in higher-profile romantic dramas such as ""The Notebook"" (2004), combined with much publicized relationships with co-stars like Rachel McAdams brought Gosling a certain amount of heartthrob celebrity, although the actor doggedly avoided the ""Hollywood Star"" persona. After a brief absence from the screen in the late 2000s, Gosling reappeared at decade's end with two hard to classify performances - first, in the fact-based murder mystery ""All Good Things"" (2010), then in the romantic drama ""Blue Valentine"" (2010), the latter of which was a small, independent labor of love that earned him critical raves. With his stoic performance as an unnamed antihero in the neo-noir ""Drive"" (2011), Gosling had firmly established himself as one Hollywood's most interesting and unpredictable rising actors. Moving with ease from moody dramas like ""The Place Beyond the Pines"" (2012) and the knockabout comedy of '70s-set action flick ""The Nice Guys"" (2016) to the old-school Hollywood glamour of romantic musical ""La La Land"" (2016) and gritty, philosophical science fiction with ""Blade Runner 2049"" (2017), Ryan Gosling seemingly could do anything and do it brilliantly."
Emma Stone,"American actress Emma Stone broke out of her early teen comedy roles to become one of the most celebrated actors of her generation. A native of Scottsdale, Arizona, she began acting as a child in local theater productions around Phoenix. She moved to Los Angeles as a teenager to pursue acting full time and was cast as Laurie Partridge in ""The New Partridge Family"" (VH1, 2004), a failed reboot of the popular 1970s show. Guest roles in TV series such as ""Malcolm in the Middle"" (Fox, 2000-06) and ""Medium"" (NBC, 2005-11) followed before a supporting role in a raunchy comedy put her on the map. Playing cool girl Jules opposite Michael Cera and Jonah Hill in ""Superbad"" (2007), the actress made a strong impression with the relatively small role. She was soon cast as one of the leads in the short-lived action series ""Drive"" (Fox, 2007). The film roles started becoming bigger, including starring opposite Anna Faris in ""The House Bunny"" (2008) and joining Woody Harrelson, Abigail Breslin, and Jesse Eisenberg in the surprise hit ""Zombieland"" (2009) as post-apocalyptic con artist Wichita. The actress stepped up to carrying a film when she starred in Will Gluck's teen comedy ""Easy A"" (2010), playing a high school girl caught up in a series of rumors run rampant. After supporting roles in ""Crazy, Stupid Love"" (2011) and ""Friends With Benefits"" (2011), she jumped into prestige fare with a starring role in ""The Help"" (2011) as aspiring writer Skeeter Phelan. The film was a critical and commercial success and put Stone on a new, more adult, trajectory. The actress joined a long list of Woody Allen muses when she starred in the director's ""Magic in the Moonlight"" (2014) and ""Irrational Man"" (2015). She also became part of the popular superhero genre with her role as Gwen Stacy in ""The Amazing Spider-Man"" (2012) and ""The Amazing Spider-Man 2"" (2014) with Andrew Garfield playing the web-slinger. The actress earned her first Academy Award nomination with her role as Michael Keaton's disaffected daughter in Alejandro Gonzalez Inarritu's Oscar-winner ""Birdman (or The Unexpected Virtue of Ignorance)"" (2014). Her role opposite Ryan Gosling, her costar in ""Crazy, Stupid Love,"" in Damien Chazelle's acclaimed musical ""La La Land"" (2016) cemented her status as an A-list actress. Displaying her musical talents as aspiring actress Mia, she won the Oscar for Best Actress. She continued her strong run, earning critical acclaim for playing real-life tennis star and LGBTQ icon Billie Jean King in ""Battle of the Sexes"" (2017) with Steve Carell. She next joined Olivia Colman and Rachel Weisz in the period drama ""The Favourite"" (2018). Her role as scheming lady-in-waiting Abigail Masham scored the actress another Oscar nomination. Despite the critical acclaim, Stone gained a reputation for not taking herself too seriously, making self-effacing appearances on talk shows and the sketch comedy mainstay ""Saturday Night Live"" (NBC, 1975- ). In between film roles, she joined former co-star Jonah Hill for the drama series ""Maniac"" (Netflix, 2018), playing a troubled young woman participating in an experimental drug trial. She returned to one of her earliest successes when she reteamed with Eisenberg, Breslin, and Harrelson for the sequel ""Zombieland: Double Tap"" (2019). That same year, it was announced that Stone would star in ""Cruella"" (2021), a live action continuation of the story of Disney villain Cruella de Vil."
John Legend,"John Legend's brand of classy, soulful and politically-engaged music filled a niche on the contemporary R&B scene, beginning with his critically successful debut album Get Lifted (2004). The album marked the first time that mainstream music lovers heard Legend's smooth vocals bringing a certain suavity to hip-hop soul, most notably in the hit single ""Ordinary People."" Legend's sophomore release, Once Again (2006), exceeded the commercial and critical success that he enjoyed with his first album. Instead of shooting for a blend of soul, pop, and hip-hop as he did in his first release, the Grammy Award-winning singer headed for a more innovative, adult contemporary direction on Once Again, which featured the catchy mid-tempo ""Save Room"" and the rock-laced song ""Stereo."" Legend showcased his political convictions and maturing sound on albums such as Wake Up! (2010), a collaboration with hip-hop group The Roots and a solid effort from an undeniably versatile musician and vocal powerhouse. This social conscience led to Legend's greatest success, co-writing the Academy Award-winning ""Glory"" with rapper Common for the soundtrack to the civil rights drama ""Selma (2014). He was born John Stephens on Dec. 28, 1978 in Springfield, OH. At an early age, Legend started playing gospel and classical piano under the tutelage of his grandmother. He attended Springfield North High School, where he graduated as salutatorian at age 16, before going off to attend the University of Pennsylvania as an English major. While in college, Legend put in time honing his budding music career by recording CDs with an a capella group, performing solo at various talent shows and open mic nights, and working as the music and choir director at Bethel A.M.E. Church in Scranton. It was during this time when Legend met hip-hop and R&B artist Lauryn Hill, who gave him his first big break by asking him to play the piano on her hit single ""Everything is Everything"" (1998). Helping his exposer, he was also making the rounds on the nightclub circuit in New York City, Philadelphia, and Washington, D.C. Legend was performing as an independent artist and distributing both his self-titled demo album (2000) and Live At Jimmy's Uptown (2001) when he was introduced by his college roommate to the then-emerging hip-hop artist Kanye West, who signed Legend as the first artist on his Getting Out Our Dreams (G.O.O.D.) label. In 2004, Legend released his official debut album Get Lifted to critical acclaim, thanks in part to the hit single ""Ordinary People,"" a song which he originally wrote for the Black Eyed Peas. The LP went on to win three Grammy Awards in 2006 for Best R&B Album, Best R&B Male Vocal Performance, and the coveted Best New Artist honor. On Legend's sophomore release, Once Again, he collaborated with a stable of talented producers including West and Peas' frontman, will.i.am, to produce another critically-lauded, ballad-driven album with a more adult contemporary sound, evidenced with songs such as the mid-tempo, piano-based love ballad ""Save Room"" and the Grammy Award-winning track ""Heaven (Only Knows). It also featured one of Legend's more upbeat tracks, ""PDA (We Just Don't Care), about public displays of affection. While Once Again lifted Legend's career to new heights, it also made the singer the subject of a copyright infringement lawsuit in 2011. Songwriter Anthony Stokes alleged that Legend's song ""Maxine's Interlude"" was based on a demo track that he gave Legend following the singer's concert in 2004. Stokes claimed that he never heard back from Legend after he gave him the track and was taken aback after hearing Legend's single ""Maxine's Interlude"" on the Once Again album. In between song recordings, concert tours and live performances, Legend also dabbled in acting, guest starring on the musical drama series ""American Dreams"" (NBC, 2002-05), where he portrayed Stevie Wonder, and on the HBO comedy series ""Curb Your Enthusiasm"" (2000-2011) as himself. He also collaborated with established artists over the years, including West, Jay-Z, Mary J. Blige, Fergie, and Pink. For his next major release, Legend and hip-hop/neo soul band The Roots teamed up to record Wake Up!, a politically-profound R&B album where they covered songs pulled from '60s and '70s soulful music such as Marvin Gaye's ""Wholy Holy"" (1971) and Harold Melvin & The Blue Notes' ""Wake Up Everybody"" (1975). It also featured Legend's original composition, ""Shine,"" which was included on the soundtrack to the educational reform documentary ""Waiting for 'Superman'"" (2010). In 2011, Legend announced his engagement to American model Chrissy Teigen, whom he had begun dating in 2007. That same year, the singer's hit song ""Save Room"" was included on the soundtrack to the romantic comedy ""Crazy, Stupid, Love"" starring Ryan Gosling and Steve Carrell. In 2012, Legend landed a regular television gig on ""Duets"" (ABC, 2012), a reality competition show where seasoned artists mentored, judged, and performed with aspiring singers, all of whom were competing for a recording contract. The following year, Legend released his fourth album, Love in the Future, which featured the hit single ""All of Me."" Legend teamed with rapper Common to write the song ""Glory"" for the soundtrack to the Dr. Martin Luther King Jr. biopic ""Selma"" (2014); the collaboration won Best Original Song at the 2015 Academy Awards. Legend followed with the album Darkness and Light (2016) and continued his work in film, co-starring in and providing music for the romantic musical ""La La Land"" (2016) and duetting on the theme song of the live-action ""Beauty and the Beast"" (2017) with Ariana Grande. The following year, Legend starred in the title role of a live concert production of ""Jesus Christ Superstar"" (NBC 2018) that aired on Easter Sunday."
Rosemarie DeWitt,"A dyed-in-the-wool New Yorker, actress Rosemarie DeWitt made a steady transition from dreaming about acting to making a name for herself in the city's vibrant theater industry. Following years of increasingly larger roles on the stage and on the small screen, it was an unusual family connection that provided her first major break into feature films. As the great granddaughter of the film's subject, boxer James J. Braddock, DeWitt landed a plum role in Ron Howard's Depression-era bio, ""Cinderella Man"" (2005). Taking her Hollywood shot, DeWitt went on to demonstrate her mix of comedic and dramatic chops in a variety of big and small screen projects, standing out as the face-to-watch with her take on the romantically-inclined hostage negotiator Emily Lehman on the Fox series ""Standoff"" (2006-07), starring opposite future husband, Ron Livingston. After earning wider attention for her recurring role as Don Draper's bohemian lover on ""Mad Men"" (AMC, 2007-15), DeWitt earned widespread award attention for her supporting turn in ""Rachel Getting Married"" (2008). From there, she delivered a capable turn in ""The Company Men"" (2010) and spent three seasons as Toni Collette's self-absorbed sister on the critically acclaimed comedy ""The United States of Tara"" (Showtime, 2009-2011). By the time she garnered more praise for the indie film ""Your Sister's Sister"" (2012), DeWitt was well-established as a skilled actress capable of turning in quality performances in any role she chose."
J.K. Simmons,"With an uncanny ability to go from understated to over-the-top, seemingly with the flip of a switch, actor J.K. Simmons became an ever-present fixture in film and on television via a tireless work ethic and nuanced performances. Although his early interest was primarily in musical composition, Simmons made a name for himself in the theater, not only as a vocalist, but as an actor of merit. After a run of shows on Broadway and in touring productions, Simmons began making small appearances in films like ""The Ref"" (1994) and ""The Scout"" (1994). The talented actor was also landing parts on various television series, most notably two recurring, diametrically-opposed characters appearing simultaneously on two different shows. On the brutal prison drama ""OZ"" (HBO, 1997-2003), Simmons played a white supremacist with frightening authenticity, while on ""Law & Order"" (NBC, 1990-2010) he was the embodiment of empathy and rationality as state psychiatrist Dr. Emil Skoda. Steadily gaining prominence in a variety of feature film work, Simmons landed the plum role of cantankerous tabloid editor J. Jonah Jameson in Sam Raimi's ""Spider-Man"" (2002), earning high marks from legions of comic book fans. In addition to reprising the part for ""Spider-Man"" sequels, Simmons was seemingly everywhere, popping up in the features ""Thank You for Smoking"" (2006), ""Juno"" (2007) and ""Burn After Reading"" (2008). Transcending the category of character actor, Simmons became a welcome addition to any cast, ensuring a performance that was often affecting, frequently surprising, and always memorable. He unexpectedly made the move to mainstream star when his powerful performance in the drama ""Whiplash"" (2014) won him Best Supporting Actor awards at both the Golden Globes and the Oscars. Following that career high point, Simmons continued working steadily in films ranging from family-friendly animated hit ""Zootopia"" (2016) to tense Boston Marathon bombing drama ""Patriots Day"" (2016)."
Finn Wittrock,"Finn Wittrock was a film, TV and theater actor best known for his role as Damon Miller on three seasons of ""All My Children"" (ABC/Hulu/OWN, 1970-2013). Having grown up in a theater-obsessed family in Massachusetts and Los Angeles, Wittrock began studying acting on his own after high school, and enrolled in the drama program at New York's prestigious Juilliard School. It wasn't long before he began landing guest spots on shows like ""Cold Case"" (CBS, 2003-2010), ""ER"" (NBC, 1994-2009), and ""CSI: Miami"" (CBS, 2002-2012), all while honing his craft by acting in plays in and around New York and Los Angeles. His big break came in 2009 when he was cast as the young Casanova Damon Miller on ""All My Children."" Wittrock appeared as the Miller character for three seasons on the show, before returning to the stage in 2012. This time, however, he would be starring alongside Philip Seymour Hoffman in a Mike Leigh-directed revival of ""Death of a Salesman."" The revival received overwhelmingly positive reviews, with Wittrock receiving much of the praise for his performance as Harold ""Happy"" Loman. After the play wrapped up in the spring of 2012, Wittrock returned to screen acting, appearing in a recurring role as Dale in the 1950s period drama ""Masters of Sex"" (Showtime 2013- ), as well as supporting roles in the big-budget epic ""Noah"" (2014) and ""Winter's Tale"" (2014). 2014 was also the year Wittrock appeared in the HBO movie ""The Normal Heart,"" as well as an episode of ""American Horror Story"" (FX, 2011- ), thus allowing him to work with writer/director/producer Ryan Murphy on two separate projects in the same year."
George MacKay,"George MacKay is an an actor who began his entertainment career at the young age of 11. MacKay began his acting career by debuting in films like the Daniel Craig film ""Defiance""  (2008) and ""The Boys Are Back""  (2009) starring Clive Owen. He also was featured in the miniseries ""Tsunami, The Aftermath""  (2006-07). He continued to act in productions like ""How I Live Now""  (2013), the musical comedy ""Hunky Dory""  (2013) with Minnie Driver and the Peter Mullan musical ""Sunshine on Leith""  (2013). He also appeared in ""For Those in Peril""  (2014). More recently, he continued to act in the Bill Nighy dramatic comedy ""Pride""  (2014), ""Private Peaceful""  (2014) and ""Bypass""  (2015) with Arabella Arnott. He also worked in television during these years, including a part on ""The Outcast""  (BBC 1, 2014-15). MacKay most recently acted in ""Captain Fantastic""  (2016)."
Dean-Charles Chapman,"Dean-Charles Chapman made his stage debut in 2005 in the London production of ""Billy Elliot: The Musical."" He started in the role of ""Small Boy,"" and later went on to play the role of Michael, Billy's best friend.  His performance was impressive, and in 2009, Champman moved on to play the musical's titular role.  As of 2011, Chapman was the second longest running performer in the show, and the production's longest serving ""Billy."" In 2007, while still playing minor roles in the musical, Chapman made his television debut in an episode of the British medical drama series ""Casualty"" (BBC 1986- ). Chapman returned to the small screen again after leaving ""Billy Elliot: The Musical"" when he starred as Stanley Brown in the series ""The Revolting World of Stanley Brown"" (CBBC 2012). The series was a science-fiction adventure focusing on the life of a 13-year old boy whose whole world changes when his time traveling descendent pays him a visit.  Chapman followed up this role with appearances in the TV series ""The White Queen"" (BBC 2013), ""Glue"" (BBC 2014) and ""Ripper Street"" (BBC 2014). In 2013 Chapman appeared on the medieval historic fantasy series ""Game of Thrones"" (HBO 2011- ) as Martyn Lannister. In 2014 and 2015 he appeared again on the wildly popular series, replacing actor Callum Wharry in the role of Tommen Baratheon."
Mark Strong,"Austere yet handsome, Mark Strong's chameleon-like talents made him a hugely sought-after villain in both big-budget action and independent films after a lengthy career in his native England. He gave good bad guy in Guy Ritchie's ""Revolver"" (2005), the dramatic thriller ""Syriana"" (2005), and Matthew Vaughn's fantasy ""Stardust"" (2007). Strong played the heavy in the comedy ""Miss Pettigrew Lives for a Day"" (2008) before reuniting twice with Ritchie to anchor ""RocknRolla"" (2008) and essay the satanic Lord Blackwood in the Robert Downey, Jr./Jude Law hit adventure, ""Sherlock Holmes"" (2009). Continuing to work with a laundry list of great film directors, Strong worked twice under the direction of Ridley Scott as the Jordanian Head of Intelligence in ""Body of Lies"" (2008), and then wreaked further havoc as Godfrey opposite Russell Crowe in ""Robin Hood"" (2010). Also that year, Strong scared a younger audience as the mob boss in the kids-turned-superheroes hit ""Kick-Ass"" (2010). With an admitted penchant for playing his deliciously evil roles to the hilt, Strong counted greats such as Sir Ian McKellen among his many fans. Going bad only ended up being a good thing for this talented actor, with work ranging from espionage dramas ""Tinker, Tailor, Soldier, Spy"" (2011), ""The Imitation Game"" (2014) and ""The Catcher Was A Spy"" (2018) to more light-hearted heavies in action drama ""Kingsman: The Secret Service"" (2014) and DC superhero introduction ""Shazam!"" (2019)."
